code,category,name,description,material,capacity,colors,price_inr,source_page,source_code,image_region,raw_excerpt,data_status
XG-GS-065,Gift Sets,2 in 1 Gift Set,"2 in 1 Gift Set,Dairy 200 pages,Metal Pen",,200 pages,,,62,XG-GS-065,bottom-right,"V/ _ | XG - GS: 060 XG°GS-061 2in} oi sot =H 2in eit set fi ee ~ An evee, = Color Option A Color Option XG-GS-062 XG - GS: 063 eee eee y Color Option Color Option yr XG - GS- 064 XG-GS-065 e e@ y e@ ee Color Option _-“~ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-133,Gift Sets,3 in 1 Gift Set,2 Mugs + Bottle,,,,,74,XG-GS-133,bottom-right,KEE ——  f XG - GS- 128 XG- GS- 129 Color Option _ Color Option XG - GS- 130 XG - GS- 131 e fs eoe Gy y Color Option Color Option dl f XG - GS- 132 XG-GS-133 Color Option. i Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-134,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,75,XG-GS-134,middle-left,"lla  XG-GS-134 XG-GS-135  a J ° \ — | e ; e > = Color Option _ Color Option  XG-GS-136 XG-GS-137 e e@ cece A Color Option Color Option af XG-GS-138 XG-GS-139 Cen.) @) e ee (o Color Option dt Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-135,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,75,XG-GS-135,middle-right,"lla  XG-GS-134 XG-GS-135  a J ° \ — | e ; e > = Color Option _ Color Option  XG-GS-136 XG-GS-137 e e@ cece A Color Option Color Option af XG-GS-138 XG-GS-139 Cen.) @) e ee (o Color Option dt Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-136,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,75,XG-GS-136,middle-left,"lla  XG-GS-134 XG-GS-135  a J ° \ — | e ; e > = Color Option _ Color Option  XG-GS-136 XG-GS-137 e e@ cece A Color Option Color Option af XG-GS-138 XG-GS-139 Cen.) @) e ee (o Color Option dt Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-137,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,75,XG-GS-137,middle-right,"lla  XG-GS-134 XG-GS-135  a J ° \ — | e ; e > = Color Option _ Color Option  XG-GS-136 XG-GS-137 e e@ cece A Color Option Color Option af XG-GS-138 XG-GS-139 Cen.) @) e ee (o Color Option dt Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-138,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,75,XG-GS-138,bottom-left,"lla  XG-GS-134 XG-GS-135  a J ° \ — | e ; e > = Color Option _ Color Option  XG-GS-136 XG-GS-137 e e@ cece A Color Option Color Option af XG-GS-138 XG-GS-139 Cen.) @) e ee (o Color Option dt Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-139,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,75,XG-GS-139,bottom-right,"lla  XG-GS-134 XG-GS-135  a J ° \ — | e ; e > = Color Option _ Color Option  XG-GS-136 XG-GS-137 e e@ cece A Color Option Color Option af XG-GS-138 XG-GS-139 Cen.) @) e ee (o Color Option dt Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-140,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,76,XG-GS-140,middle-left,yy —-™  f XG-GS-140 XG-GS-141 Color Option _ Color Option XG-GS-142 P XG-GS-143 e e eoe y Color Option Color Option _ f XG-GS-144 XG-GS-145 Color Option. A Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-141,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,76,XG-GS-141,middle-right,yy —-™  f XG-GS-140 XG-GS-141 Color Option _ Color Option XG-GS-142 P XG-GS-143 e e eoe y Color Option Color Option _ f XG-GS-144 XG-GS-145 Color Option. A Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-142,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,76,XG-GS-142,bottom-left,yy —-™  f XG-GS-140 XG-GS-141 Color Option _ Color Option XG-GS-142 P XG-GS-143 e e eoe y Color Option Color Option _ f XG-GS-144 XG-GS-145 Color Option. A Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-143,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,76,XG-GS-143,bottom-right,yy —-™  f XG-GS-140 XG-GS-141 Color Option _ Color Option XG-GS-142 P XG-GS-143 e e eoe y Color Option Color Option _ f XG-GS-144 XG-GS-145 Color Option. A Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-144,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,76,XG-GS-144,bottom-left,yy —-™  f XG-GS-140 XG-GS-141 Color Option _ Color Option XG-GS-142 P XG-GS-143 e e eoe y Color Option Color Option _ f XG-GS-144 XG-GS-145 Color Option. A Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-145,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,76,XG-GS-145,bottom-right,yy —-™  f XG-GS-140 XG-GS-141 Color Option _ Color Option XG-GS-142 P XG-GS-143 e e eoe y Color Option Color Option _ f XG-GS-144 XG-GS-145 Color Option. A Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-146,Gift Sets,4 in 1 Gift Set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,77,XG-GS-146,middle-left,"ll —_~ XG-GS-146 ; XG-GS-147 e @ / @ e Color Option _“ Color Option XG-GS-148 XG-GS-149 e 0c ec3e A Color Option Color Option _ XG-GS-150 XG-GS-151 e ee ‘ { eee Color Option _ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-147,Gift Sets,4 in 1 Gift Set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,77,XG-GS-147,middle-right,"ll —_~ XG-GS-146 ; XG-GS-147 e @ / @ e Color Option _“ Color Option XG-GS-148 XG-GS-149 e 0c ec3e A Color Option Color Option _ XG-GS-150 XG-GS-151 e ee ‘ { eee Color Option _ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-148,Gift Sets,4 in 1 Gift Set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,77,XG-GS-148,bottom-left,"ll —_~ XG-GS-146 ; XG-GS-147 e @ / @ e Color Option _“ Color Option XG-GS-148 XG-GS-149 e 0c ec3e A Color Option Color Option _ XG-GS-150 XG-GS-151 e ee ‘ { eee Color Option _ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-149,Gift Sets,4 in 1 Gift Set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,77,XG-GS-149,bottom-center,"ll —_~ XG-GS-146 ; XG-GS-147 e @ / @ e Color Option _“ Color Option XG-GS-148 XG-GS-149 e 0c ec3e A Color Option Color Option _ XG-GS-150 XG-GS-151 e ee ‘ { eee Color Option _ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-150,Gift Sets,4 in 1 Gift Set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,77,XG-GS-150,bottom-left,"ll —_~ XG-GS-146 ; XG-GS-147 e @ / @ e Color Option _“ Color Option XG-GS-148 XG-GS-149 e 0c ec3e A Color Option Color Option _ XG-GS-150 XG-GS-151 e ee ‘ { eee Color Option _ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-151,Gift Sets,4 in 1 Gift Set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,77,XG-GS-151,bottom-right,"ll —_~ XG-GS-146 ; XG-GS-147 e @ / @ e Color Option _“ Color Option XG-GS-148 XG-GS-149 e 0c ec3e A Color Option Color Option _ XG-GS-150 XG-GS-151 e ee ‘ { eee Color Option _ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-152,Gift Sets,4 in 1 Gift set,Metal pen + Dairy + Metal keychain + Metal visiting card,,,,,78,XG-GS-152,middle-left,ys XG-GS-152 XG-GS-153 e e A @ e Color Option ft Color Option XG-GS-154 | XG-GS-155 | e e ooe y Color Option Color Option _ f XG-GS-156 XG-GS-157 . e e 4 © ee Color Option. i Color Option,VERIFIED_FROM_CATALOGUE
